NOM_SCIENTIFIQUE,ENJEU_CONSERVATION,NOM_MATCHING
"Kickxia commutata (Bernh. ex Rchb.) Fritsch, 1897 ",MOY,Kickxia commutata
"Kickxia elatine (L.) Dumort., 1827 ",MOY,Kickxia elatine
"Kickxia elatine subsp. crinita (Mabille) Greuter, 1967 ",DD,Kickxia elatine subsp. crinita 
"Kickxia elatine subsp. elatine (L.) Dumort., 1827 ",DD,Kickxia elatine subsp. elatine 
"Kickxia spuria (L.) Dumort., 1827 ",MOY,Kickxia spuria
"Kickxia spuria subsp. integrifolia (Brot.) R.Fern., 1971 ",DD,Kickxia spuria subsp. integrifolia 
"Kickxia spuria subsp. spuria (L.) Dumort., 1827 ",DD,Kickxia spuria subsp. spuria 
"Klasea lycopifolia (Vill.) Á.Löve & D.Löve, 1961 ",FOR,Klasea lycopifolia
Klasea nudicaulis (L.) Fourr. ,MOY,Klasea nudicaulis
"Knautia arvensis (L.) Coult., 1828 ",FAI,Knautia arvensis
"Knautia arvernensis (Briq.) Szabó, 1934 ",MOY,Knautia arvernensis
"Knautia basaltica Chass. & Szabó, 1934 ",MOY,Knautia basaltica
"Knautia collina Jord., 1848 ",MOY,Knautia collina
"Knautia dipsacifolia (Host) Kreutzer, 1840 ",MOY,Knautia dipsacifolia
"Knautia integrifolia (L.) Bertol., 1836 ",MOY,Knautia integrifolia
"Knautia lebrunii J.Prudhomme, 1987 ",TFO,Knautia lebrunii
Knautia nevadensis (Szabó) Szabó ,DD,Knautia nevadensis
"Knautia timeroyii subsp. carpophylax (Jord.) B.Bock,  2012 ",DD,Knautia timeroyii subsp. carpophylax 
"Koeleria cenisia Reut. ex E.Rev., 1873 ",FOR,Koeleria cenisia
"Koeleria macrantha (Ledeb.) Schult., 1824 ",MOY,Koeleria macrantha
"Koeleria pyramidata (Lam.) P.Beauv., 1812 ",FAI,Koeleria pyramidata
"Koeleria vallesiana (Honck.) Gaudin, 1808 ",MOY,Koeleria vallesiana
"Koeleria vallesiana subsp. humilis Braun-Blanq., 1945 ",FOR,Koeleria vallesiana subsp. humilis 
"Koeleria vallesiana subsp. vallesiana (Honck.) Gaudin,  1808 ",MOY,Koeleria vallesiana subsp. vallesiana 
"Koenigia alpina (All.) T.M.Schust. & Reveal, 2015 ",MOY,Koenigia alpina
"Kosteletzkya pentacarpos (L.) Ledeb., 1842 ",TFO,Kosteletzkya pentacarpos
"Kundmannia sicula (L.) DC., 1830 ",FOR,Kundmannia sicula
"Laburnum alpinum (Mill.) Bercht. & J.Presl, 1835 ",MOY,Laburnum alpinum
"Laburnum anagyroides Medik., 1787 ",MOY,Laburnum anagyroides
"Lactuca alpina (L.) Benth. & Hook.f., 1876 ",MOY,Lactuca alpina
"Lactuca muralis (L.) Gaertn., 1791 ",FAI,Lactuca muralis
"Lactuca perennis L., 1753 ",MOY,Lactuca perennis
"Lactuca plumieri (L.) Gren. & Godr., 1850 ",MOY,Lactuca plumieri
"Lactuca quercina L., 1753 ",FOR,Lactuca quercina
"Lactuca ramosissima (All.) Gren. & Godr., 1850 ",DD,Lactuca ramosissima
"Lactuca saligna L., 1753 ",MOY,Lactuca saligna
"Lactuca serriola L., 1756 ",FAI,Lactuca serriola
"Lactuca tenerrima Pourr., 1788 ",MOY,Lactuca tenerrima
"Lactuca viminea subsp. chondrilliflora (Boreau)  Bonnier, 1923 ",MOY,Lactuca viminea subsp. chondrilliflora 
"Lactuca virosa L., 1753 ",MOY,Lactuca virosa
"Lagurus ovatus L., 1753 ",MOY,Lagurus ovatus
"Lamarckia aurea (L.) Moench, 1794 ",MOY,Lamarckia aurea
"Lamium album L., 1753 ",MOY,Lamium album
"Lamium amplexicaule L., 1753 ",MOY,Lamium amplexicaule
"Lamium bifidum subsp. bifidum Cirillo, 1788 ",MOY,Lamium bifidum subsp. bifidum 
"Lamium cyrneum Paradis, 2012 ",TFO,Lamium cyrneum
"Lamium flexuosum Ten., 1815 ",TFO,Lamium flexuosum
Lamium galeobdolon subsp. flavidum (F.Herm.)  Á.Löve ,MOY,Lamium galeobdolon subsp. flavidum 
"Lamium galeobdolon subsp. montanum (Pers.) Hayek,  1929 ",FAI,Lamium galeobdolon subsp. montanum 
"Lamium garganicum L., 1763 ",MOY,Lamium garganicum
"Lamium garganicum subsp. corsicum (Godr.)  Mennema, 1989 ",TFO,Lamium garganicum subsp. corsicum 
"Lamium garganicum subsp. garganicum L., 1763 ",MOY,Lamium garganicum subsp. garganicum 
"Lamium gevorense (Gómez Hern.) Gómez Hern. &  A.Pujadas, 2005 ",TFO,Lamium gevorense
"Lamium hybridum Vill., 1786 ",MOY,Lamium hybridum
"Lamium maculatum (L.) L., 1763 ",FAI,Lamium maculatum
"Lamium purpureum L., 1753 ",MOY,Lamium purpureum
"Lantana camara L., 1753 s.s. ",DD,Lantana camara
"Laphangium luteoalbum (L.) Tzvelev, 1994 ",MOY,Laphangium luteoalbum
"Lappula squarrosa (Retz.) Dumort., 1827 ",MOY,Lappula squarrosa
"Lapsana communis L., 1753 ",MOY,Lapsana communis
"Larix decidua Mill., 1768 ",MOY,Larix decidua
"Laserpitium gallicum L., 1753 ",MOY,Laserpitium gallicum
"Laserpitium halleri subsp. cynapiifolium (Viv. ex DC.)  P.Fourn., 1937 ",FOR,Laserpitium halleri subsp. cynapiifolium 
"Laserpitium halleri subsp. halleri Crantz, 1767 ",MOY,Laserpitium halleri subsp. halleri 
"Laserpitium latifolium L., 1753 ",FAI,Laserpitium latifolium
"Laserpitium nestleri Soy.-Will., 1828 ",MOY,Laserpitium nestleri
"Laserpitium prutenicum subsp. prutenicum L., 1753 ",DD,Laserpitium prutenicum subsp. prutenicum 
"Laserpitium siler L., 1753 ",MOY,Laserpitium siler
"Lathraea clandestina L., 1753 ",MOY,Lathraea clandestina
"Lathraea squamaria L., 1753 ",MOY,Lathraea squamaria
"Lathyrus amphicarpos L., 1753 ",FOR,Lathyrus amphicarpos
"Lathyrus angulatus L., 1753 ",MOY,Lathyrus angulatus
"Lathyrus annuus L., 1753 ",MOY,Lathyrus annuus
"Lathyrus aphaca L., 1753 ",MOY,Lathyrus aphaca
"Lathyrus bauhinii Genty, 1892 ",FOR,Lathyrus bauhinii
"Lathyrus cicera L., 1753 ",MOY,Lathyrus cicera
"Lathyrus cirrhosus Ser., 1825 ",FOR,Lathyrus cirrhosus
"Lathyrus clymenum L., 1753 ",MOY,Lathyrus clymenum
"Lathyrus filiformis (Lam.) J.Gay, 1857 ",MOY,Lathyrus filiformis
"Lathyrus heterophyllus L., 1753 ",MOY,Lathyrus heterophyllus
"Lathyrus hirsutus L., 1753 ",MOY,Lathyrus hirsutus
"Lathyrus inconspicuus L., 1753 ",MOY,Lathyrus inconspicuus
"Lathyrus latifolius L., 1753 ",MOY,Lathyrus latifolius
"Lathyrus linifolius (Reichard) Bässler, 1971 ",MOY,Lathyrus linifolius
"Lathyrus niger (L.) Bernh., 1800 ",MOY,Lathyrus niger
"Lathyrus nissolia L., 1753 ",MOY,Lathyrus nissolia
"Lathyrus ochraceus Kitt., 1844 ",MOY,Lathyrus ochraceus
"Lathyrus ochrus (L.) DC., 1805 ",MOY,Lathyrus ochrus
"Lathyrus palustris L., 1753 ",FOR,Lathyrus palustris
"Lathyrus pratensis L., 1753 ",MOY,Lathyrus pratensis
"Lathyrus sativus L., 1753 ",FOR,Lathyrus sativus
"Lathyrus setifolius L., 1753 ",MOY,Lathyrus setifolius
"Lathyrus sphaericus Retz., 1783 ",MOY,Lathyrus sphaericus
"Lathyrus sylvestris L., 1753 ",MOY,Lathyrus sylvestris
"Lathyrus tuberosus L., 1753 ",MOY,Lathyrus tuberosus
"Lathyrus venetus (Mill.) Wohlf., 1892 ",MOY,Lathyrus venetus
"Lathyrus vernus (L.) Bernh., 1800 ",MOY,Lathyrus vernus
"Laurus nobilis L., 1753 ",MOY,Laurus nobilis
"Lavandula angustifolia subsp. angustifolia Mill., 1768 ",MOY,Lavandula angustifolia subsp. angustifolia 
"Lavandula angustifolia subsp. pyrenaica (DC.) Guinea,  1972 ",FOR,Lavandula angustifolia subsp. pyrenaica 
"Lavandula latifolia Medik., 1784 ",MOY,Lavandula latifolia
"Lavandula stoechas L., 1753 ",MOY,Lavandula stoechas
"Leersia oryzoides (L.) Sw., 1788 ",MOY,Leersia oryzoides
"Legousia falcata (Ten.) Fritsch, 1907 ",MOY,Legousia falcata
"Legousia falcata subsp. castellana (Lange) Jauzein,  1995 ",MOY,Legousia falcata subsp. castellana 
"Legousia falcata subsp. falcata (Ten.) Fritsch, 1907 ",MOY,Legousia falcata subsp. falcata 
"Legousia hybrida (L.) Delarbre, 1800 ",MOY,Legousia hybrida
"Legousia speculum-veneris (L.) Chaix, 1785 ",MOY,Legousia speculum-veneris
"Lemna gibba L., 1753 ",MOY,Lemna gibba
"Lemna minor L., 1753 ",MOY,Lemna minor
"Lemna trisulca L., 1753 ",FOR,Lemna trisulca
"Leontodon crispus Vill., 1779 ",MOY,Leontodon crispus
"Leontodon hirtus L., 1759 ",MOY,Leontodon hirtus
"Leontodon hispidus L., 1753 ",FAI,Leontodon hispidus
"Leontodon hispidus subsp. hispidus L., 1753 ",FAI,Leontodon hispidus subsp. hispidus 
"Leontodon hispidus subsp. hyoseroides (Welw. ex  Rchb.) Gremli, 1885 ",FAI,Leontodon hispidus subsp. hyoseroides 
"Leontodon saxatilis Lam., 1779 ",MOY,Leontodon saxatilis
Leontodon saxatilis subsp. rothii Maire ,DD,Leontodon saxatilis subsp. rothii 
"Leontodon saxatilis subsp. saxatilis Lam., 1779 ",DD,Leontodon saxatilis subsp. saxatilis 
"Leontodon tuberosus L., 1753 ",MOY,Leontodon tuberosus
"Leontopodium nivale (Ten.) A.L.P.Huet ex Hand.-  Mazz., 1927 ",MOY,Leontopodium nivale
"Leonurus cardiaca L., 1753 ",MOY,Leonurus cardiaca
"Lepidium campestre (L.) R.Br., 1812 ",MOY,Lepidium campestre
"Lepidium draba L., 1753 ",MOY,Lepidium draba
"Lepidium graminifolium L., 1759 ",MOY,Lepidium graminifolium
"Lepidium heterophyllum Benth., 1826 ",MOY,Lepidium heterophyllum
"Lepidium hirtum subsp. hirtum (L.) Sm., 1818 ",MOY,Lepidium hirtum subsp. hirtum 
"Lepidium latifolium L., 1753 ",FOR,Lepidium latifolium
"Lepidium oxyotum DC., 1821 ",FOR,Lepidium oxyotum
"Lepidium ruderale L., 1753 ",MOY,Lepidium ruderale
"Lepidium squamatum Forssk., 1775 ",MOY,Lepidium squamatum
"Lepidium villarsii Gren. & Godr., 1847 ",MOY,Lepidium villarsii
"Leucanthemopsis alpina (L.) Heywood, 1975 ",MOY,Leucanthemopsis alpina
"Leucanthemopsis alpina subsp. alpina (L.) Heywood,  1975 ",MOY,Leucanthemopsis alpina subsp. alpina 
"Leucanthemopsis alpina subsp. minima (Vill.) Holub,  1977 ",DD,Leucanthemopsis alpina subsp. minima 
"Leucanthemopsis alpina subsp. tomentosa (Loisel.)  Heywood, 1975 ",FOR,Leucanthemopsis alpina subsp. tomentosa 
"Leucanthemum adustum (W.D.J.Koch) Gremli, 1898 ",MOY,Leucanthemum adustum
"Leucanthemum ageratifolium Pau, 1902 ",FOR,Leucanthemum ageratifolium
"Leucanthemum burnatii Briq. & Cavill., 1916 ",TFO,Leucanthemum burnatii
"Leucanthemum catalaunicum Vogt, 1988 ",DD,Leucanthemum catalaunicum
"Leucanthemum coronopifolium Gren. & Godr., 1850 ",MOY,Leucanthemum coronopifolium
"Leucanthemum corsicum (Less.) DC., 1838 ",FOR,Leucanthemum corsicum
"Leucanthemum corsicum subsp. corsicum (Less.) DC.,  1838 ",FOR,Leucanthemum corsicum subsp. corsicum 
"Leucanthemum corsicum subsp. fenzlii Gamisans,  1972 ",FOR,Leucanthemum corsicum subsp. fenzlii 
"Leucanthemum delarbrei Timb.-Lagr. ex Lamotte, 1881 ",DD,Leucanthemum delarbrei
"Leucanthemum esterellense (Briq. & Cavill.) Vogt,  Konowalik & Oberpr. 2018 ",DD,Leucanthemum esterellense
"Leucanthemum graminifolium (L.) Lam., 1779 ",MOY,Leucanthemum graminifolium
"Leucanthemum heterophyllum (Willd.) DC., 1838 ",DD,Leucanthemum heterophyllum
"Leucanthemum ircutianum DC., 1838 ",FAI,Leucanthemum ircutianum
"Leucanthemum legreanum (Rouy) B.Bock & J.-  M.Tison, 2012 ",TFO,Leucanthemum legreanum
"Leucanthemum monspeliense (L.) H.J.Coste, 1903 ",MOY,Leucanthemum monspeliense
"Leucanthemum pallens (J.Gay ex Perreym.) DC., 1838 ",MOY,Leucanthemum pallens
"Leucanthemum subglaucum De Laramb., 1861 ",FOR,Leucanthemum subglaucum
"Leucanthemum virgatum (Desr.) Clos, 1870 ",TFO,Leucanthemum virgatum
"Leucanthemum vulgare Lam., 1779 ",MOY,Leucanthemum vulgare
"Leucojum aestivum L., 1759 ",FOR,Leucojum aestivum
"Leucojum pulchellum Salisb., 1807 ",TFO,Leucojum pulchellum
"Leucojum vernum L., 1753 ",FOR,Leucojum vernum
"Leucopoa dimorpha (Guss.) H.Scholz & Foggi, 2005 ",MOY,Leucopoa dimorpha
"Levisticum officinale W.D.J.Koch, 1824 ",MOY,Levisticum officinale
"Libanotis pyrenaica (L.) O.Schwarz, 1949 ",MOY,Libanotis pyrenaica
"Ligularia sibirica (L.) Cass., 1823 ",FOR,Ligularia sibirica
"Ligustrum vulgare L., 1753 ",FAI,Ligustrum vulgare
"Lilium bulbiferum L., 1753 ",MOY,Lilium bulbiferum
"Lilium candidum L., 1753 ",FOR,Lilium candidum
"Lilium martagon L., 1753 ",FAI,Lilium martagon
"Lilium pomponium L., 1753 ",FOR,Lilium pomponium
"Lilium pyrenaicum Gouan, 1773 ",MOY,Lilium pyrenaicum
"Limbarda crithmoides (L.) Dumort., 1827 ",MOY,Limbarda crithmoides
"Limodorum abortivum (L.) Sw., 1799 ",MOY,Limodorum abortivum
"Limodorum trabutianum Batt., 1886 ",DD,Limodorum trabutianum
"Limoniastrum monopetalum (L.) Boiss., 1848 ",FOR,Limoniastrum monopetalum
"Limonium articulatum (Loisel.) Kuntze, 1891 ",TFO,Limonium articulatum
"Limonium auriculiursifolium (Pourr.) Druce, 1928 ",TFO,Limonium auriculiursifolium
"Limonium avei (De Not.) Brullo & Erben, 1988 ",DD,Limonium avei
"Limonium bellidifolium (Gouan) Dumort., 1827 ",FOR,Limonium bellidifolium
"Limonium bonifaciense Arrigoni & Diana, 1993 ",TFO,Limonium bonifaciense
"Limonium companyonis (Gren. & Billot) Kuntze, 1891 ",TFO,Limonium companyonis
"Limonium contortirameum (Mabille) Erben, 1991 ",TFO,Limonium contortirameum
"Limonium cordatum (L.) Mill., 1768 ",TFO,Limonium cordatum
"Limonium corsicum Erben, 1991 ",TFO,Limonium corsicum
"Limonium cuspidatum (Delort) Erben, 1978 ",TFO,Limonium cuspidatum
"Limonium dubium (Guss.) Litard., 1948 ",TFO,Limonium dubium
"Limonium duriusculum (Girard) Fourr., 1869 ",TFO,Limonium duriusculum
"Limonium echioides (L.) Mill., 1768 ",FOR,Limonium echioides
"Limonium florentinum Arrigoni & Diana, 1993 ",TFO,Limonium florentinum
"Limonium geronense Erben, 1978 ",TFO,Limonium geronense
"Limonium girardianum (Guss.) Fourr., 1869 ",TFO,Limonium girardianum
"Limonium greuteri Erben, 2006 ",TFO,Limonium greuteri
"Limonium lambinonii Erben, 2002 ",TFO,Limonium lambinonii
"Limonium legrandii (Gaut. & Timb.-Lagr.) Erben, 1978 ",DD,Limonium legrandii
"Limonium narbonense Mill., 1768 ",FOR,Limonium narbonense
"Limonium obtusifolium (Rouy) Erben, 1978 ",TFO,Limonium obtusifolium
"Limonium patrimoniense Arrigoni & Diana, 1993 ",TFO,Limonium patrimoniense
"Limonium portovecchiense Erben, 2001 ",TFO,Limonium portovecchiense
"Limonium pseudominutum Erben, 1988 ",TFO,Limonium pseudominutum
"Limonium strictissimum (Salzm.) Arrigoni, 1990 ",TFO,Limonium strictissimum
"Limonium tarcoense Arrigoni & Diana, 1993 ",TFO,Limonium tarcoense
"Limonium virgatum (Willd.) Fourr., 1869 ",MOY,Limonium virgatum
"Limosella aquatica L., 1753 ",MOY,Limosella aquatica
"Linaria alpina (L.) Mill., 1768 ",MOY,Linaria alpina
"Linaria alpina subsp. aciculifolia Braun-Blanq., 1945 ",MOY,Linaria alpina subsp. aciculifolia 
"Linaria alpina subsp. alpina (L.) Mill., 1768 ",MOY,Linaria alpina subsp. alpina 
"Linaria angustissima (Loisel.) Borbás, 1900 ",MOY,Linaria angustissima
"Linaria arvensis (L.) Desf., 1799 ",MOY,Linaria arvensis
"Linaria chalepensis (L.) Mill., 1768 ",DD,Linaria chalepensis
"Linaria flava subsp. sardoa (Sommier) A.Terracc.,  1930 ",TFO,Linaria flava subsp. sardoa 
"Linaria micrantha (Cav.) Hoffmanns. & Link, 1813 ",MOY,Linaria micrantha
"Linaria pelisseriana (L.) Mill., 1768 ",MOY,Linaria pelisseriana
"Linaria repens (L.) Mill., 1768 ",MOY,Linaria repens
"Linaria simplex (Willd.) DC., 1805 ",MOY,Linaria simplex
"Linaria supina (L.) Chaz., 1790 ",MOY,Linaria supina
"Linaria triphylla (L.) Mill., 1768 ",DD,Linaria triphylla
"Linaria vulgaris Mill., 1768 ",MOY,Linaria vulgaris
"Linum alpinum Jacq., 1762 ",MOY,Linum alpinum
"Linum austriacum L., 1753 ",FOR,Linum austriacum
"Linum campanulatum L., 1753 ",MOY,Linum campanulatum
"Linum catharticum L., 1753 ",FAI,Linum catharticum
"Linum leonii F.W.Schultz, 1838 ",FOR,Linum leonii
"Linum maritimum L., 1753 ",FOR,Linum maritimum
"Linum narbonense L., 1753 ",MOY,Linum narbonense
"Linum strictum L., 1753 ",MOY,Linum strictum
"Linum strictum subsp. corymbulosum (Rchb.) Rouy, 1897 ",DD,Linum strictum subsp. corymbulosum 
"Linum strictum subsp. spicatum (Pers.) Nyman, 1878 ",DD,Linum strictum subsp. spicatum 
"Linum strictum subsp. strictum L., 1753 ",MOY,Linum strictum subsp. strictum 
"Linum suffruticosum subsp. appressum (Caball.) Rivas  Mart., 1978 ",MOY,Linum suffruticosum subsp. appressum 
"Linum tenuifolium L., 1753 ",MOY,Linum tenuifolium
"Linum trigynum L., 1753 ",MOY,Linum trigynum
"Linum usitatissimum subsp. angustifolium (Huds.)  Thell., 1912 ",MOY,Linum usitatissimum subsp. angustifolium 
"Linum usitatissimum subsp. usitatissimum L., 1753 ",DD,Linum usitatissimum subsp. usitatissimum 
"Linum viscosum L., 1762 ",MOY,Linum viscosum
"Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch,  2012 ",MOY,Lipandra polysperma
"Liparis loeselii (L.) Rich., 1817 ",MOY,Liparis loeselii
"Lithodora fruticosa (L.) Griseb., 1844 ",MOY,Lithodora fruticosa
"Lithospermum officinale L., 1753 ",MOY,Lithospermum officinale
"Littorella uniflora (L.) Asch., 1864 ",TFO,Littorella uniflora
"Lobelia urens L., 1753 ",FOR,Lobelia urens
"Lobularia maritima (L.) Desv., 1815 ",MOY,Lobularia maritima
"Loeflingia hispanica L., 1753 ",FOR,Loeflingia hispanica
"Logfia gallica (L.) Coss. & Germ., 1843 ",MOY,Logfia gallica
"Logfia minima (Sm.) Dumort., 1827 ",MOY,Logfia minima
"Lolium multiflorum Lam., 1779 ",MOY,Lolium multiflorum
"Lolium perenne L., 1753 ",MOY,Lolium perenne
"Lolium remotum Schrank, 1789 ",DD,Lolium remotum
"Lolium rigidum Gaudin, 1811 ",MOY,Lolium rigidum
"Lolium rigidum subsp. lepturoides Sennen &  Mauricio, 1933 ",FOR,Lolium rigidum subsp. lepturoides 
"Lolium rigidum subsp. rigidum Gaudin, 1811 ",MOY,Lolium rigidum subsp. rigidum 
"Lolium temulentum L., 1753 ",MOY,Lolium temulentum
"Lomelosia graminifolia (L.) Greuter & Burdet, 1985 ",MOY,Lomelosia graminifolia
"Lomelosia rutifolia (Vahl) Avino & P.Caputo, 2009 ",FOR,Lomelosia rutifolia
"Lomelosia simplex (Desf.) Raf., 1838 ",FOR,Lomelosia simplex
"Lomelosia stellata (L.) Raf., 1838 ",FOR,Lomelosia stellata
"Loncomelos narbonense (L.) Raf., 1840 ",MOY,Loncomelos narbonense
"Loncomelos pyrenaicus (L.) Hrouda, 1988 ",MOY,Loncomelos pyrenaicus
"Lonicera alpigena L., 1753 ",MOY,Lonicera alpigena
"Lonicera caerulea L., 1753 ",MOY,Lonicera caerulea
"Lonicera etrusca Santi, 1795 ",MOY,Lonicera etrusca
"Lonicera implexa Aiton, 1789 ",MOY,Lonicera implexa
"Lonicera nigra L., 1753 ",MOY,Lonicera nigra
"Lonicera periclymenum L., 1753 ",MOY,Lonicera periclymenum
"Lonicera pyrenaica L., 1753 ",MOY,Lonicera pyrenaica
"Lonicera xylosteum L., 1753 ",FAI,Lonicera xylosteum
"Lotus angustissimus L., 1753 ",MOY,Lotus angustissimus
"Lotus conimbricensis Brot., 1800 ",FOR,Lotus conimbricensis
"Lotus corniculatus L., 1753 ",FAI,Lotus corniculatus
"Lotus corniculatus subsp. alpinus (DC.) Rothm., 1963 ",MOY,Lotus corniculatus subsp. alpinus 
"Lotus corniculatus subsp. corniculatus L., 1753 ",FAI,Lotus corniculatus subsp. corniculatus 
"Lotus corniculatus subsp. delortii (F.W.Schultz)  Nyman, 1878 ",MOY,Lotus corniculatus subsp. delortii 
"Lotus corniculatus subsp. preslii (Ten.) P.Fourn., 1936 ",FOR,Lotus corniculatus subsp. preslii 
"Lotus creticus L., 1753 ",TFO,Lotus creticus
"Lotus cytisoides L., 1753 ",MOY,Lotus cytisoides
"Lotus dorycnium L., 1753 ",MOY,Lotus dorycnium
"Lotus edulis L., 1753 ",MOY,Lotus edulis
"Lotus glaber Mill., 1768 ",MOY,Lotus glaber
"Lotus herbaceus (Vill.) Jauzein, 2010 ",FOR,Lotus herbaceus
"Lotus hirsutus L., 1753 ",MOY,Lotus hirsutus
"Lotus hispidus Desf. ex DC., 1805 ",MOY,Lotus hispidus
"Lotus jordanii (Loret & Barrandon) Coulot, Rabaute &  J.-M.Tison, 2014 ",FOR,Lotus jordanii
"Lotus maritimus L., 1753 ",MOY,Lotus maritimus
"Lotus ornithopodioides L., 1753 ",MOY,Lotus ornithopodioides
"Lotus parviflorus Desf., 1799 ",MOY,Lotus parviflorus
"Lotus pedunculatus Cav., 1793 ",MOY,Lotus pedunculatus
"Lotus rectus L., 1753 ",MOY,Lotus rectus
"Lotus tetragonolobus L., 1753 ",DD,Lotus tetragonolobus
"Ludwigia palustris (L.) Elliott, 1817 ",FOR,Ludwigia palustris
"Lunaria annua L., 1753 ",MOY,Lunaria annua
"Lunaria rediviva L., 1753 ",MOY,Lunaria rediviva
"Lupinus angustifolius L., 1753 ",MOY,Lupinus angustifolius
"Lupinus angustifolius subsp. angustifolius L., 1753 ",MOY,Lupinus angustifolius subsp. angustifolius 
"Lupinus angustifolius subsp. reticulatus (Desv.)  Arcang., 1882 ",DD,Lupinus angustifolius subsp. reticulatus 
"Lupinus luteus L., 1753 ",DD,Lupinus luteus
"Lupinus micranthus Guss., 1828 ",MOY,Lupinus micranthus
"Luronium natans (L.) Raf., 1840 ",FOR,Luronium natans
"Luzula alpina Hoppe, 1839 ",MOY,Luzula alpina
"Luzula alpinopilosa (Chaix) Breistr., 1947 ",MOY,Luzula alpinopilosa
"Luzula campestris (L.) DC., 1805 ",MOY,Luzula campestris
"Luzula congesta (Thuill.) Lej., 1811 ",MOY,Luzula congesta
"Luzula desvauxii Kunth, 1841 ",MOY,Luzula desvauxii
"Luzula forsteri (Sm.) DC., 1806 ",MOY,Luzula forsteri
"Luzula lutea (All.) DC., 1805 ",MOY,Luzula lutea
"Luzula luzulina (Vill.) Racib., 1888 ",MOY,Luzula luzulina
"Luzula luzuloides (Lam.) Dandy & Wilmott, 1938 ",MOY,Luzula luzuloides
"Luzula multiflora (Ehrh.) Lej., 1811 ",MOY,Luzula multiflora
"Luzula nivea (Nathh.) DC., 1805 ",MOY,Luzula nivea
"Luzula pedemontana Boiss. & Reut., 1852 ",MOY,Luzula pedemontana
"Luzula pediformis (Chaix) DC., 1805 ",MOY,Luzula pediformis
"Luzula pilosa (L.) Willd., 1809 ",MOY,Luzula pilosa
"Luzula spicata (L.) DC., 1805 ",FAI,Luzula spicata
"Luzula spicata subsp. italica (Parl.) Arcang., 1882 ",FOR,Luzula spicata subsp. italica 
"Luzula spicata subsp. mutabilis Chrtek & K?ísa, 1962 ",MOY,Luzula spicata subsp. mutabilis 
"Luzula spicata subsp. spicata (L.) DC., 1805 ",FAI,Luzula spicata subsp. spicata 
"Luzula sudetica (Willd.) Schult., 1814 ",MOY,Luzula sudetica
"Luzula sylvatica subsp. sieberi (Tausch) K.Richt., 1890 ",MOY,Luzula sylvatica subsp. sieberi 
"Luzula sylvatica subsp. sylvatica (Huds.) Gaudin, 1811 ",MOY,Luzula sylvatica subsp. sylvatica 
"Lychnis flos-cuculi L., 1753 ",MOY,Lychnis flos-cuculi
"Lychnis flos-jovis (L.) Desr., 1792 ",MOY,Lychnis flos-jovis
"Lycopodiella inundata (L.) Holub, 1964 ",MOY,Lycopodiella inundata
"Lycopodium alpinum L., 1753 ",MOY,Lycopodium alpinum
"Lycopodium annotinum L., 1753 ",MOY,Lycopodium annotinum
"Lycopodium clavatum L., 1753 ",MOY,Lycopodium clavatum
"Lycopodium issleri (Rouy) Domin, 1937 ",MOY,Lycopodium issleri
"Lycopodium tristachyum Pursh, 1814 ",MOY,Lycopodium tristachyum
"Lycopsis arvensis L., 1753 ",MOY,Lycopsis arvensis
"Lycopus europaeus L., 1753 ",MOY,Lycopus europaeus
"Lysimachia arvensis (L.) U.Manns & Anderb., 2009 ",MOY,Lysimachia arvensis
"Lysimachia arvensis subsp. arvensis (L.) U.Manns &  Anderb., 2009 ",MOY,Lysimachia arvensis subsp. arvensis 
"Lysimachia arvensis subsp. latifolia (L.) Peruzzi, 2010 ",MOY,Lysimachia arvensis subsp. latifolia 
"Lysimachia arvensis subsp. parviflora (Hoffmanns. &  Link) Peruzzi, 2010 ",FOR,Lysimachia arvensis subsp. parviflora 
"Lysimachia ephemerum L., 1753 ",MOY,Lysimachia ephemerum
"Lysimachia europaea (L.) U.Manns & Anderb., 2009 ",MOY,Lysimachia europaea
"Lysimachia foemina (Mill.) U.Manns & Anderb., 2009 ",MOY,Lysimachia foemina
"Lysimachia linum-stellatum L., 1753 ",MOY,Lysimachia linum-stellatum
"Lysimachia minima (L.) U.Manns & Anderb., 2009 ",MOY,Lysimachia minima
"Lysimachia nemorum L., 1753 ",MOY,Lysimachia nemorum
"Lysimachia nummularia L., 1753 ",MOY,Lysimachia nummularia
"Lysimachia tenella L., 1753 ",MOY,Lysimachia tenella
"Lysimachia thyrsiflora L., 1753 ",FOR,Lysimachia thyrsiflora
"Lysimachia vulgaris L., 1753 ",MOY,Lysimachia vulgaris
"Lythrum borysthenicum (Schrank) Litv., 1917 ",MOY,Lythrum borysthenicum
"Lythrum hyssopifolia L., 1753 ",MOY,Lythrum hyssopifolia
"Lythrum junceum Banks & Sol., 1794 ",FOR,Lythrum junceum
"Lythrum portula (L.) D.A.Webb, 1967 ",MOY,Lythrum portula
"Lythrum salicaria L., 1753 ",MOY,Lythrum salicaria
"Lythrum thesioides M.Bieb., 1808 ",TFO,Lythrum thesioides
"Lythrum thymifolia L., 1753 ",FOR,Lythrum thymifolia
"Lythrum tribracteatum Salzm. ex Spreng., 1827 ",FOR,Lythrum tribracteatum
"Lythrum virgatum L., 1753 ",DD,Lythrum virgatum
"Macrosyringion glutinosum (M.Bieb.) Rothm., 1943 ",FOR,Macrosyringion glutinosum
